iter	Passed	Remaining
0	96	41986
1	186	40324
2	410	59107
3	802	86487
4	980	84348
5	1044	74657
6	1096	67037
7	1149	61358
8	1224	57972
9	1298	55204
10	1352	52123
11	1405	49535
12	1483	48159
13	1559	46902
14	1634	45777
15	1680	44002
16	1736	42697
17	1863	43169
18	2001	43824
19	2136	44338
20	2197	43317
21	2321	43584
22	2409	43166
23	2493	42701
24	2568	42119
25	2628	41340
26	2676	40444
27	2719	39524
28	2760	38649
29	2801	37826
30	2848	37120
31	2893	36443
32	2938	35792
33	2992	35299
34	3043	34784
35	3100	34366
36	3146	33849
37	3190	33328
38	3229	32788
39	3274	32331
40	3322	31925
41	3372	31556
42	3429	31267
43	3479	30923
44	3527	30569
45	3570	30196
46	3619	29878
47	3670	29595
48	3712	29243
49	3757	28931
50	3802	28629
51	3854	28391
52	4041	29128
53	4161	29362
54	4233	29246
55	4273	28923
56	4319	28646
57	4360	28345
58	4402	28053
59	4450	27817
60	4496	27570
61	4550	27373
62	4603	27179
63	4675	27103
64	4719	26863
65	4766	26648
66	4807	26404
67	4850	26176
68	4895	25968
69	4940	25760
70	4983	25548
71	5029	25355
72	5072	25154
73	5115	24953
74	5153	24738
75	5206	24591
76	5246	24393
77	5298	24252
78	5349	24108
79	5392	23928
80	5436	23760
81	5482	23602
82	5529	23452
83	5598	23391
84	5650	23265
85	5691	23098
86	5734	22939
87	5778	22786
88	5817	22618
89	5858	22456
90	5894	22282
91	5939	22145
92	5984	22009
93	6032	21883
94	6091	21801
95	6135	21664
96	6184	21549
97	6236	21445
98	6282	21322
99	6334	21219
100	6378	21092
101	6427	20983
102	6473	20864
103	6516	20740
104	6555	20603
105	6590	20456
106	6643	20364
107	6690	20258
108	6731	20132
109	6785	20048
110	6832	19944
111	6877	19833
112	6930	19747
113	6972	19631
114	7013	19514
115	7052	19393
116	7089	19269
117	7133	19164
118	7176	19058
119	7220	18954
120	7268	18861
121	7309	18753
122	7347	18637
123	7397	18553
124	7442	18456
125	7476	18336
126	7521	18239
127	7561	18135
128	7603	18036
129	7641	17928
130	7682	17828
131	7730	17744
132	7773	17651
133	7811	17547
134	7863	17473
135	7905	17381
136	7960	17315
137	8014	17249
138	8061	17166
139	8100	17069
140	8141	16975
141	8176	16872
142	8218	16781
143	8265	16702
144	8313	16626
145	8354	16536
146	8392	16442
147	8432	16352
148	8478	16273
149	8526	16200
150	8573	16125
151	8619	16048
152	8678	15995
153	8719	15910
154	8768	15840
155	8808	15754
156	8851	15673
157	8897	15598
158	8937	15514
159	8989	15450
160	9050	15402
161	9099	15334
162	9146	15263
163	9190	15187
164	9241	15122
165	9292	15058
166	9331	14974
167	9383	14913
168	9433	14847
169	9512	14828
170	9558	14757
171	9599	14679
172	9636	14593
173	9689	14534
174	9727	14453
175	9763	14367
176	9803	14290
177	9845	14215
178	9893	14149
179	9932	14071
180	9983	14009
181	10030	13943
182	10074	13873
183	10114	13797
184	10162	13732
185	10211	13669
186	10253	13597
187	10293	13523
188	10338	13457
189	10380	13385
190	10427	13321
191	10473	13255
192	10519	13190
193	10574	13136
194	10616	13066
195	10663	13002
196	10706	12935
197	10754	12873
198	10795	12802
199	10841	12738
200	10891	12679
201	10931	12609
202	10982	12551
203	11044	12506
204	11081	12432
205	11130	12373
206	11181	12315
207	11217	12242
208	11287	12205
